iter	Passed	Remaining
936	2223	149
937	2225	147
938	2227	144
939	2229	142
940	2232	139
941	2234	137
942	2236	135
943	2239	132
944	2241	130
945	2243	128
946	2245	125
947	2248	123
948	2250	120
949	2252	118
950	2254	116
951	2257	113
952	2259	111
953	2261	109
954	2263	106
955	2265	104
956	2268	101
957	2270	99
958	2272	97
959	2274	94
960	2276	92
961	2279	90
962	2281	87
963	2283	85
964	2285	82
965	2287	80
966	2290	78
967	2292	75
968	2294	73
969	2296	71
970	2299	68
971	2301	66
972	2303	63
973	2307	61
974	2309	59
975	2311	56
976	2313	54
977	2316	52
978	2318	49
979	2320	47
980	2323	44
981	2325	42
982	2327	40
983	2330	37
984	2332	35
985	2334	33
986	2338	30
987	2341	28
988	2344	26
989	2346	23
990	2350	21
991	2352	18
992	2355	16
993	2357	14
994	2359	11
995	2361	9
996	2364	7
997	2366	4
998	2368	2
999	2371	0
